catchment,network,year,mmwr_year,mmwr_week,age_category,sex,race,cumulative_rate,weekly_rate,derived_date
Ohio,IHSP,2020-21,2020,14,0-4 yr,Overall,Overall,0,0,2020-04-01
New York,EIP,2020-21,2020,14,0-4 yr,Overall,Overall,2.7,0.9,2020-04-01
New Mexico,EIP,2020-21,2020,14,0-4 yr,Overall,Overall,0,0,2020-04-01
Minnesota,EIP,2020-21,2020,14,0-4 yr,Overall,Overall,0,0,2020-04-01
Michigan,IHSP,2020-21,2020,14,0-4 yr,Overall,Overall,0,0,2020-04-01
Maryland,EIP,2020-21,2020,14,0-4 yr,Overall,Overall,1.1,1.1,2020-04-01
Georgia,EIP,2020-21,2020,14,0-4 yr,Overall,Overall,0,0,2020-04-01
Connecticut,EIP,2020-21,2020,14,0-4 yr,Overall,Overall,0,0,2020-04-01
Colorado,EIP,2020-21,2020,14,0-4 yr,Overall,Overall,4.8,3.6,2020-04-01
California,EIP,2020-21,2020,14,0-4 yr,Overall,Overall,0.5,0,2020-04-01
California,EIP,2020-21,2020,15,0-4 yr,Overall,Overall,1,0.5,2020-04-08
Colorado,EIP,2020-21,2020,15,0-4 yr,Overall,Overall,6,1.2,2020-04-08
Connecticut,EIP,2020-21,2020,15,0-4 yr,Overall,Overall,0,0,2020-04-08
Georgia,EIP,2020-21,2020,15,0-4 yr,Overall,Overall,0,0,2020-04-08
Tennessee,EIP,2020-21,2020,15,0-4 yr,Overall,Overall,0.9,0.9,2020-04-08
Utah,IHSP,2020-21,2020,15,0-4 yr,Overall,Overall,0,0,2020-04-08
Maryland,EIP,2020-21,2020,15,0-4 yr,Overall,Overall,1.9,0.8,2020-04-08
Minnesota,EIP,2020-21,2020,15,0-4 yr,Overall,Overall,0,0,2020-04-08
Michigan,IHSP,2020-21,2020,15,0-4 yr,Overall,Overall,0,0,2020-04-08
New York,EIP,2020-21,2020,15,0-4 yr,Overall,Overall,2.7,0,2020-04-08
New Mexico,EIP,2020-21,2020,15,0-4 yr,Overall,Overall,1.4,1.4,2020-04-08
Oregon,EIP,2020-21,2020,15,0-4 yr,Overall,Overall,1,0,2020-04-08
Ohio,IHSP,2020-21,2020,15,0-4 yr,Overall,Overall,0,0,2020-04-08
Iowa,IHSP,2020-21,2020,15,0-4 yr,Overall,Overall,12.1,12.1,2020-04-08
Utah,IHSP,2020-21,2020,16,0-4 yr,Overall,Overall,0,0,2020-04-15
